"W1","W2","W3","W4","W5","W6","W7","W8","T","Y","g0"
1,1,0,1,0,0,0,1,1,13.433477757156,0.442752145401444
0,1,0,0,0,0,1,0,0,11.0330524972157,0.48750260351579
1,0,1,0,0,1,1,1,1,15.6406218455357,0.51249739648421
1,0,0,1,1,1,1,1,1,17.5091623548403,0.704745697998091
1,0,0,1,1,1,1,1,0,15.0930761525202,0.704745697998091
0,0,1,0,1,1,1,0,1,13.5337185314221,0.679178699175393
1,1,1,1,0,0,1,0,0,12.3481072686347,0.418240623158164
0,0,1,1,0,1,0,1,0,13.6944471951694,0.51749285766639
1,0,1,1,1,1,1,1,1,15.0974056629931,0.661503159202952
1,1,0,1,1,1,0,1,0,16.1730619342273,0.638763175148842
1,0,1,0,0,0,1,0,1,14.3117310271612,0.46257015465625
1,0,1,0,0,0,1,1,1,14.3882368618884,0.46257015465625
1,1,0,1,0,0,1,0,1,15.1485683348679,0.467545693612681
0,1,0,0,0,1,1,0,0,15.454070805271,0.53742984534375
0,1,1,0,0,0,1,0,0,11.2548011467439,0.437823499114202
1,1,1,0,1,0,0,0,1,13.0365184771264,0.53742984534375
0,0,1,0,0,0,0,0,0,8.5634450823706,0.46257015465625
0,0,0,0,0,0,1,0,0,11.2596786884223,0.53742984534375
0,0,1,0,0,0,0,1,0,10.8608344858529,0.46257015465625
0,0,0,0,0,0,0,1,0,10.9578097104548,0.51249739648421
0,1,0,1,1,1,0,1,1,14.649181743918,0.661503159202952
1,0,1,0,0,0,0,0,0,8.62924280730996,0.437823499114202
1,0,0,1,0,1,1,1,1,15.9470729366646,0.567092904965454
1,1,0,0,0,1,1,1,0,15.1185506429558,0.51249739648421
1,0,0,1,1,0,1,1,1,12.4225497639871,0.661503159202952
0,0,0,0,0,0,1,0,1,11.4633095475352,0.53742984534375
1,1,0,0,0,0,1,0,0,14.2258312908636,0.46257015465625
0,1,1,0,0,0,1,1,0,13.7290063797756,0.437823499114202
0,0,0,0,0,0,0,0,1,10.979251283823,0.51249739648421
1,1,0,0,0,0,1,0,1,14.5073573200876,0.46257015465625
1,0,1,0,1,1,1,1,1,14.7773619281952,0.657010462673499
0,1,1,0,0,1,1,1,0,15.581331992718,0.48750260351579
1,1,1,1,1,1,1,1,1,15.5990064107348,0.615383756391182
1,1,1,1,1,0,1,0,0,12.8135635284823,0.567092904965454
0,0,0,0,0,0,1,0,0,11.4301148276794,0.53742984534375
0,1,1,0,0,0,0,0,0,12.0902073794159,0.41338242108267
0,1,0,0,0,1,0,1,1,14.0487530956629,0.51249739648421
0,1,0,0,1,1,1,1,0,15.4870625831453,0.679178699175393
0,1,0,0,0,1,0,1,1,14.1154799794103,0.51249739648421
0,1,1,0,0,0,1,1,1,13.0147491325841,0.437823499114202
0,0,0,0,0,0,1,0,1,12.1194108809218,0.53742984534375
0,0,1,0,0,0,0,0,0,8.81576072689373,0.46257015465625
1,0,0,1,0,0,0,0,1,13.7247505183166,0.49250056244938
1,1,0,0,1,1,1,1,1,15.4657820934693,0.657010462673499
0,0,1,0,0,1,0,0,0,12.8682786433201,0.51249739648421
0,1,1,0,1,1,1,1,1,16.3367073772399,0.634135591010801
0,1,0,0,0,1,0,0,0,13.7853994596853,0.51249739648421
1,1,0,0,1,1,1,1,0,15.3896676594418,0.657010462673499
0,1,1,1,0,0,1,0,1,13.9243036521354,0.442752145401444
0,1,1,1,1,1,1,1,1,14.9184161896767,0.638763175148842
1,0,1,1,1,1,1,0,1,15.5773755473073,0.661503159202952
0,1,1,0,0,0,0,0,0,12.5554475438116,0.41338242108267
1,0,0,1,1,1,1,0,0,14.8193142690848,0.704745697998091
0,1,0,0,0,0,1,0,0,11.861920896576,0.48750260351579
1,1,1,1,0,0,0,0,0,14.2447969466409,0.394126331568239
0,1,0,0,0,1,0,0,0,14.3558783948564,0.51249739648421
1,0,1,1,1,1,1,1,0,14.2934031671453,0.661503159202952
1,1,0,1,1,1,1,1,1,15.4794518687962,0.661503159202952
0,0,0,0,0,0,0,0,1,11.6618625534584,0.51249739648421
1,0,0,1,1,1,1,0,1,16.7716371069352,0.704745697998091
0,1,1,0,1,1,0,0,1,13.5637770045418,0.610639233949222
0,1,0,0,0,1,1,0,1,14.7028446125555,0.53742984534375
0,0,1,0,0,0,1,0,0,11.13217456752,0.48750260351579
1,1,0,0,1,1,0,0,1,13.4051037140813,0.634135591010801
1,1,0,1,1,1,1,1,1,15.8146248894263,0.661503159202952
1,1,0,0,1,1,0,1,1,14.4263254059043,0.634135591010801
1,1,0,1,1,1,0,1,0,16.5252226451362,0.638763175148842
0,0,1,0,0,0,0,0,0,8.65104755695407,0.46257015465625
1,1,0,1,1,1,1,1,1,17.3022718161983,0.661503159202952
1,0,0,0,1,1,1,0,1,15.007589145331,0.700567142473973
0,1,1,0,0,0,0,0,1,14.1000107791573,0.41338242108267
0,0,0,0,0,0,0,0,0,10.3133030491145,0.51249739648421
1,1,0,1,1,1,0,0,1,15.7125066119922,0.638763175148842
0,1,1,0,1,1,1,0,0,12.2326074674823,0.634135591010801
1,1,1,1,1,1,1,1,1,16.5140691546438,0.615383756391182
1,1,1,0,1,0,1,0,1,13.518127746227,0.562176500885798
1,1,1,0,1,1,1,0,0,14.8326712283327,0.610639233949222
1,0,0,1,0,1,0,0,1,14.3823617646112,0.542397940774351
0,0,0,0,0,0,1,1,0,10.8209381483851,0.53742984534375
0,1,1,0,0,0,1,0,0,13.9769232539028,0.437823499114202
1,1,0,1,1,1,0,1,1,16.5282014670542,0.638763175148842
1,1,0,0,0,0,1,0,1,13.9950655542991,0.46257015465625
0,1,0,1,1,0,1,0,1,12.4532537931632,0.638763175148842
1,1,0,1,1,1,1,1,1,17.7351161780842,0.661503159202952
1,1,0,1,1,1,0,1,1,16.0683845193488,0.638763175148842
1,1,0,1,1,0,1,0,0,14.3497385907554,0.615383756391182
0,0,1,0,0,0,1,1,1,12.5611350741674,0.48750260351579
0,0,0,0,0,1,0,1,0,12.9328152877602,0.562176500885798
0,0,1,0,0,0,1,0,1,12.0325395840309,0.48750260351579
1,0,0,1,0,0,1,0,1,13.5702736209356,0.51749285766639
0,1,1,0,0,0,1,0,1,13.2549799468029,0.437823499114202
1,1,1,1,0,0,1,1,1,14.1488048258926,0.418240623158164
0,0,0,0,0,0,1,0,0,8.9957431576843,0.53742984534375
1,1,1,1,0,1,1,1,0,17.2749284670793,0.467545693612681
1,1,1,1,1,1,1,1,1,17.0333111559759,0.615383756391182
0,0,0,0,0,0,1,0,1,11.7169793308286,0.53742984534375
1,1,1,1,1,1,1,1,1,18.2370854737441,0.615383756391182
1,1,1,1,1,1,1,0,0,18.6819567627805,0.615383756391182
0,1,0,0,0,0,0,0,0,9.67764361330496,0.46257015465625
0,1,0,0,0,0,0,0,1,10.9551068918107,0.46257015465625
0,1,1,1,1,1,1,1,1,15.5471351739808,0.638763175148842
0,1,1,0,0,0,0,0,0,11.1768020066936,0.41338242108267
0,0,0,0,0,0,1,0,0,11.4940312659401,0.53742984534375
0,0,0,0,0,1,1,1,0,11.766490055718,0.58661757891733
1,0,0,0,1,1,1,1,0,13.8139127265872,0.700567142473973
0,0,0,0,0,0,1,0,0,11.565243831227,0.53742984534375
1,1,0,1,1,0,0,0,1,14.2814528560753,0.59145897843278
0,0,0,1,0,0,1,0,1,11.7553889764635,0.542397940774351
1,0,1,1,1,1,1,0,0,15.6004528032025,0.661503159202952
0,0,1,0,0,0,0,0,1,11.5298161308812,0.46257015465625
1,0,1,1,1,0,1,0,0,12.0433596030783,0.615383756391182
0,0,1,0,0,0,0,0,1,10.6094579770576,0.46257015465625
1,1,0,1,1,1,0,1,1,16.1643161809211,0.638763175148842
0,0,0,0,0,0,1,1,1,12.5197204615466,0.53742984534375
0,1,0,1,1,1,0,0,0,13.8504056391829,0.661503159202952
0,0,0,0,0,0,1,0,0,10.596455497349,0.53742984534375
1,1,0,1,1,0,1,0,1,15.2400505250346,0.615383756391182
0,0,0,1,0,1,1,0,1,15.2810165535617,0.59145897843278
0,1,1,1,0,0,0,0,0,10.8989886270651,0.418240623158164
0,0,1,1,0,1,1,0,0,13.4937837413055,0.542397940774351
1,1,1,1,1,0,1,0,1,15.1272344004996,0.567092904965454
1,1,1,0,0,0,0,0,0,12.0955461427765,0.389360766050778
1,0,1,1,1,1,1,0,0,13.8847219738342,0.661503159202952
1,0,0,1,0,0,0,1,0,11.9607466746794,0.49250056244938
1,1,1,0,0,0,0,0,1,13.4103683821326,0.389360766050778
0,0,1,0,0,1,1,1,1,12.7075585237599,0.53742984534375
1,1,0,0,1,1,0,0,1,14.5556518035122,0.634135591010801
0,1,0,0,0,0,1,0,1,10.4693498687626,0.48750260351579
0,0,0,0,0,1,1,1,0,14.2031568167062,0.58661757891733
0,0,1,0,0,1,1,0,1,15.1023761253555,0.53742984534375
1,1,0,1,1,1,0,1,1,16.0865359489715,0.638763175148842
1,0,1,1,1,1,1,0,1,12.7256150533931,0.661503159202952
0,1,1,0,0,1,0,1,0,13.2455280335595,0.46257015465625
0,1,0,1,0,0,1,1,1,14.2209334219937,0.49250056244938
1,1,1,1,1,1,0,1,1,17.2398507797207,0.59145897843278
1,0,1,1,1,1,1,1,1,14.7097312644216,0.661503159202952
0,1,1,1,1,1,0,1,1,13.8810975065316,0.615383756391182
0,1,0,1,1,1,1,1,1,16.8565660070748,0.683520893736316
0,1,0,0,1,1,0,0,1,14.8661207487154,0.657010462673499
1,0,1,1,1,0,0,0,1,13.7191285762584,0.59145897843278
1,1,1,1,1,1,1,1,1,13.6711567078653,0.615383756391182
0,0,0,0,0,0,0,0,0,9.74032713648147,0.51249739648421
1,1,0,1,1,1,1,0,0,14.1795147777811,0.661503159202952
0,1,0,0,0,0,0,0,0,12.6292468852734,0.46257015465625
1,0,1,1,1,1,0,0,1,15.0978682844377,0.638763175148842
0,1,0,0,0,1,0,1,0,12.5955435775916,0.51249739648421
0,0,1,0,0,0,1,0,0,10.3909137121919,0.48750260351579
1,1,1,1,1,1,0,1,0,14.9049250689185,0.59145897843278
1,0,0,1,1,1,1,0,1,17.5336919574549,0.704745697998091
0,0,1,0,0,0,0,1,0,9.72917803033916,0.46257015465625
0,0,1,1,0,0,1,0,1,13.4464654184134,0.49250056244938
1,0,0,1,1,1,1,0,1,16.2095015008796,0.704745697998091
1,1,0,1,1,1,1,1,0,16.347795033315,0.661503159202952
1,0,1,0,1,1,1,0,0,13.4314421132687,0.657010462673499
1,0,1,1,1,1,1,0,1,16.1807491843962,0.661503159202952
0,1,1,0,0,0,1,0,1,13.4069053985299,0.437823499114202
1,1,1,1,1,1,0,0,0,15.1788451522224,0.59145897843278
1,0,1,0,0,0,0,0,0,9.32332602717777,0.437823499114202
1,1,0,1,1,1,0,0,1,14.9446525124132,0.638763175148842
0,1,0,0,0,0,0,0,0,9.40526571801823,0.46257015465625
1,1,1,1,1,1,0,1,0,15.4288117521765,0.59145897843278
0,0,0,0,0,0,0,0,0,9.44603683582937,0.51249739648421
1,1,0,1,1,1,1,0,0,17.0492851516113,0.661503159202952
0,1,0,0,1,1,1,1,1,15.3262034973225,0.679178699175393
0,0,0,0,0,1,1,1,1,13.1392668853881,0.58661757891733
1,1,1,0,0,0,1,1,0,12.7114082920456,0.41338242108267
1,0,1,1,1,1,0,0,1,15.605173666957,0.638763175148842
1,1,0,1,1,1,1,1,1,15.4068131071771,0.661503159202952
0,1,1,0,0,0,1,0,1,12.7086176024639,0.437823499114202
0,0,1,0,1,0,1,0,1,12.3798164229299,0.634135591010801
0,1,0,0,0,0,1,0,1,13.9945721197895,0.48750260351579
0,1,1,0,0,1,0,1,1,12.8582172865896,0.46257015465625
1,0,1,1,1,1,1,0,1,16.0218002893814,0.661503159202952
1,0,1,1,1,1,0,1,0,14.5199187899461,0.638763175148842
0,0,1,0,0,0,1,0,0,10.5556501788453,0.48750260351579
1,1,1,0,1,1,1,1,1,14.0771581755205,0.610639233949222
0,0,0,0,0,1,0,1,0,13.2573766327673,0.562176500885798
1,1,0,1,1,0,0,0,1,14.2836583575741,0.59145897843278
1,0,0,1,1,0,0,0,1,13.7442512719155,0.638763175148842
1,0,0,1,1,1,1,1,1,14.6784345766636,0.704745697998091
0,1,1,0,1,1,1,1,1,14.9188487486321,0.634135591010801
0,0,0,0,0,0,0,0,0,9.27199595334215,0.51249739648421
0,0,0,0,0,0,1,0,1,13.6196761366326,0.53742984534375
1,0,0,1,1,1,1,1,1,14.4291939246934,0.704745697998091
1,1,1,0,0,0,1,0,0,11.4141383897601,0.41338242108267
1,1,1,0,1,1,1,1,0,15.4534380083174,0.610639233949222
0,0,1,1,1,1,1,1,1,15.0591682563286,0.683520893736316
0,1,1,0,1,1,1,0,0,12.6852877492688,0.634135591010801
1,1,1,1,0,0,1,0,1,15.4598248190911,0.418240623158164
1,1,1,1,1,1,0,0,1,15.9060640858423,0.59145897843278
1,0,0,1,1,0,0,0,0,13.5153403649654,0.638763175148842
0,0,1,1,0,0,0,0,1,12.6743318118432,0.467545693612681
0,0,1,0,0,0,1,0,0,10.2496799821831,0.48750260351579
0,0,0,0,0,0,0,0,0,10.2941848447575,0.51249739648421
1,1,1,1,1,1,1,1,0,16.196248593244,0.615383756391182
1,0,1,1,1,1,0,0,1,14.2779256379845,0.638763175148842
1,0,0,0,1,1,0,0,0,13.4131059468003,0.679178699175393
1,0,1,1,1,1,0,0,1,15.4179260039164,0.638763175148842
0,0,0,0,0,0,0,0,0,10.0100035754202,0.51249739648421
1,0,0,0,1,1,1,1,1,17.3557050664964,0.700567142473973
0,0,1,0,0,0,0,0,0,10.6702561931564,0.46257015465625
0,0,0,0,0,0,1,0,1,13.5011173551698,0.53742984534375
0,1,1,0,0,0,0,0,0,12.3091538136224,0.41338242108267
0,1,1,0,0,1,0,1,0,11.7208980592141,0.46257015465625
1,0,0,1,0,0,1,0,0,13.9588669287569,0.51749285766639
0,0,1,0,0,0,1,0,0,11.0529626228848,0.48750260351579
0,1,0,1,1,1,0,1,0,13.2650153454141,0.661503159202952
0,0,1,0,0,0,0,0,0,9.72005374989306,0.46257015465625
1,1,0,1,1,1,0,0,0,16.8364303460688,0.638763175148842
1,0,0,1,1,0,1,0,1,15.5637294730215,0.661503159202952
0,0,0,0,0,0,1,0,1,10.3073244318134,0.53742984534375
1,1,0,1,1,0,0,1,0,11.4634995365936,0.59145897843278
1,0,0,1,1,1,1,1,0,13.7020285524666,0.704745697998091
1,0,0,1,1,0,1,0,1,12.7301250878182,0.661503159202952
1,0,0,1,1,1,1,1,1,14.7315190468084,0.704745697998091
0,0,1,1,0,0,1,0,0,13.5847864489343,0.49250056244938
1,0,1,1,0,0,0,0,1,12.636329837897,0.442752145401444
0,0,0,0,0,0,0,0,1,9.6244908235594,0.51249739648421
0,1,0,0,1,1,0,0,1,13.0425778393051,0.657010462673499
1,1,0,0,1,1,0,0,1,14.6154855723506,0.634135591010801
0,1,0,0,0,0,1,1,0,10.8133819692522,0.48750260351579
1,0,1,1,1,1,1,0,0,16.0040928842009,0.661503159202952
1,1,1,1,1,1,1,0,0,15.0335848952112,0.615383756391182
0,0,0,0,0,0,1,1,0,10.3274997359504,0.53742984534375
0,0,1,0,0,0,1,0,1,13.0707010282418,0.48750260351579
0,1,0,0,0,0,0,0,1,9.51464411857579,0.46257015465625
1,1,0,1,1,1,1,1,1,15.958525402597,0.661503159202952
0,0,0,1,0,0,1,0,0,11.6993714980894,0.542397940774351
0,0,1,0,1,1,0,0,0,12.6894027623855,0.657010462673499
0,0,1,0,0,0,1,0,1,12.2866487412679,0.48750260351579
1,1,1,1,1,0,0,0,0,13.6089408910064,0.542397940774351
0,1,1,0,0,0,0,0,1,11.0430904797087,0.41338242108267
0,1,1,0,0,1,1,0,0,13.2017794357256,0.48750260351579
0,1,0,0,0,0,1,0,1,11.0000228865847,0.48750260351579
1,1,1,1,1,1,0,1,1,14.6791645135837,0.59145897843278
1,0,1,1,1,0,1,0,1,13.3962557474358,0.615383756391182
1,1,0,1,1,1,0,0,1,16.5920376963742,0.638763175148842
1,0,1,1,0,0,1,1,0,13.5395252493939,0.467545693612681
1,1,1,1,1,1,1,1,1,16.7392519358066,0.615383756391182
0,0,1,0,0,0,1,0,1,11.2345228837233,0.48750260351579
1,1,0,1,1,1,1,1,0,15.2017857122164,0.661503159202952
0,1,1,0,0,1,1,0,1,15.10497607306,0.48750260351579
1,0,0,1,1,1,0,0,1,15.3557335628329,0.683520893736316
0,0,1,0,0,0,1,0,0,11.9837176371944,0.48750260351579
0,1,0,0,0,0,1,0,1,13.4682799470276,0.48750260351579
0,0,0,1,0,0,0,0,0,9.57080720862201,0.51749285766639
0,0,1,0,0,1,1,0,1,15.277421111415,0.53742984534375
1,1,0,1,0,1,1,1,0,15.2451780150863,0.51749285766639
0,1,0,0,0,0,1,0,0,11.5060296064739,0.48750260351579
0,1,0,1,1,1,1,1,1,15.5722665099163,0.683520893736316
0,0,0,0,0,0,1,0,0,10.8073422423124,0.53742984534375
1,1,1,1,1,1,1,1,0,17.6042277055053,0.615383756391182
0,0,1,0,0,0,0,0,1,10.0107051283004,0.46257015465625
0,1,0,0,0,0,0,0,1,11.5402681920999,0.46257015465625
1,0,0,0,0,0,0,0,0,12.6988091667034,0.48750260351579
0,0,1,1,1,1,0,0,1,13.6361860706102,0.661503159202952
0,0,1,0,0,1,1,1,0,12.4567057801534,0.53742984534375
1,1,1,1,1,1,1,1,0,16.289109802982,0.615383756391182
1,1,0,1,1,0,1,0,0,12.6061268075026,0.615383756391182
1,1,0,0,1,1,1,1,1,15.6295633400871,0.657010462673499
0,1,0,0,1,1,1,1,1,15.6549641602978,0.679178699175393
0,1,0,0,0,0,0,0,0,11.9316839100105,0.46257015465625
1,1,0,1,1,1,1,1,1,18.6264984044452,0.661503159202952
1,0,0,0,0,0,0,1,0,10.0577768479387,0.48750260351579
0,1,0,0,0,0,1,0,1,14.0671846591191,0.48750260351579
0,0,1,0,0,0,1,0,1,12.4749179149138,0.48750260351579
1,0,1,1,1,1,0,1,0,15.406938365054,0.638763175148842
1,1,1,1,1,1,1,1,1,16.4684722266827,0.615383756391182
0,1,1,0,0,0,1,1,1,12.7605780446469,0.437823499114202
0,1,0,0,0,0,1,1,0,10.1917334951943,0.48750260351579
1,1,0,0,1,1,0,1,0,14.9147465816564,0.634135591010801
1,0,1,1,1,1,1,1,1,15.1945417248688,0.661503159202952
0,1,1,0,0,1,0,1,1,15.1846944383187,0.46257015465625
0,1,1,0,1,1,1,0,1,14.1009778560672,0.634135591010801
1,1,0,1,1,1,1,1,0,15.2929107987633,0.661503159202952
0,0,0,1,0,0,0,0,0,12.099847682116,0.51749285766639
0,1,1,0,1,1,0,1,0,13.5245267810272,0.610639233949222
1,1,0,0,0,0,0,0,1,12.2675039034674,0.437823499114202
0,0,1,0,0,0,1,1,0,11.7168475885149,0.48750260351579
0,0,1,0,1,1,1,0,1,13.1261140814907,0.679178699175393
1,0,0,1,1,0,0,0,1,11.1074458107923,0.638763175148842
0,1,0,0,0,0,1,0,0,12.9924317860679,0.48750260351579
1,0,0,1,1,0,1,0,0,12.2013122915211,0.661503159202952
0,1,0,0,0,0,0,1,1,11.394616272496,0.46257015465625
0,0,0,0,0,0,1,1,0,11.0629863467318,0.53742984534375
1,1,0,1,1,1,0,1,1,16.6696585793187,0.638763175148842
1,0,0,1,1,0,0,0,1,13.7257465876021,0.638763175148842
1,1,0,1,1,1,0,0,0,13.1263013850267,0.638763175148842
0,0,0,0,0,0,0,0,1,12.3521228429881,0.51249739648421
0,0,0,0,0,0,1,0,1,12.3866847468345,0.53742984534375
1,0,0,1,1,1,1,1,1,18.2880275041535,0.704745697998091
0,0,0,0,1,0,0,0,1,12.4041159981988,0.657010462673499
0,0,0,0,0,0,0,0,0,10.7199923340815,0.51249739648421
0,1,1,1,0,0,1,1,0,12.3691639631939,0.442752145401444
1,1,1,1,1,1,1,0,1,16.7775388286602,0.615383756391182
0,1,0,0,0,1,0,0,1,14.6363657428041,0.51249739648421
0,1,0,0,0,0,0,0,1,13.0397605443216,0.46257015465625
0,1,0,0,0,0,1,0,0,11.6395741720605,0.48750260351579
0,1,0,1,1,1,1,1,1,16.7063139825861,0.683520893736316
